symbol,date,close,open,high,low,volume
AU.NH,20110110,1389.4939,1383.9213,1390.7013,1382.8996,17044
AU.NH,20110107,1379.2774,1383.8748,1385.7324,1378.4415,26228
AU.NH,20110106,1388.1008,1389.9119,1391.3051,1387.6828,17686
AU.NH,20110105,1392.9304,1393.1626,1396.8777,1387.9615,40124
AU.NH,20110104,1429.4313,1433.9823,1436.3042,1428.5954,21262
AU.NH,20101231,1435.4683,1424.1837,1435.5612,1423.2085,18388
AU.NH,20101230,1432.0318,1426.7378,1435.4219,1426.7378,19412
AU.NH,20101229,1426.1341,1421.0259,1426.3663,1418.7039,19732
AU.NH,20101228,1410.4843,1402.4504,1413.5028,1401.8002,23142
AU.NH,20101227,1400.5928,1393.1626,1401.986,1390.3763,12248
AU.NH,20101224,1400.1284,1394.9273,1400.1284,1393.7199,7860
AU.NH,20101223,1402.4968,1402.4504,1404.2615,1398.5495,10300
AU.NH,20101222,1403.9828,1405.7011,1407.5122,1402.4968,13508
AU.NH,20101221,1404.215,1400.1749,1404.5401,1399.4318,17038
AU.NH,20101220,1404.0757,1400.3606,1405.2367,1399.6176,33516
AU.NH,20101217,1390.98,1388.2865,1392.2338,1385.5002,18086
AU.NH,20101216,1394.3236,1388.5652,1394.4629,1387.0791,20180
AU.NH,20101215,1398.2709,1411.7381,1411.7381,1397.76,28160
AU.NH,20101214,1420.7937,1414.8959,1423.2085,1410.5771,25340
AU.NH,20101213,1404.0293,1394.1843,1404.7723,1392.2338,17638
AU.NH,20101210,1399.5711,1397.2492,1403.3327,1395.5774,17048
AU.NH,20101209,1394.788,1397.4814,1398.5031,1391.5837,25126
AU.NH,20101208,1399.1996,1411.7381,1415.4532,1396.2276,42782
AU.NH,20101207,1438.8583,1439.6942,1442.8521,1430.3136,23110
AU.NH,20101206,1432.682,1434.8646,1439.2763,1428.9204,25030
AU.NH,20101203,1410.1127,1413.2241,1415.4532,1406.8156,20862
AU.NH,20101202,1416.1962,1407.0942,1416.4284,1407.0942,24870
AU.NH,20101201,1411.5059,1394.8808,1412.9919,1392.2338,34636
AU.NH,20101130,1376.0267,1375.9803,1377.2341,1372.776,20176
AU.NH,20101129,1369.0144,1356.0116,1372.4509,1356.0116,24856
AU.NH,20101126,1370.9184,1381.0885,1382.6674,1369.9432,31778
AU.NH,20101125,1381.3207,1380.1597,1381.7851,1375.9803,20990
AU.NH,20101124,1387.0327,1378.5344,1388.3794,1378.3022,36680
AU.NH,20101123,1369.8503,1370.0825,1371.7079,1363.0703,30020
AU.NH,20101122,1366.7389,1363.1167,1374.4942,1361.4914,24370
AU.NH,20101119,1365.2993,1367.6213,1368.5501,1359.3087,24788
AU.NH,20101118,1360.609,1353.411,1362.0486,1351.8785,37278
AU.NH,20101117,1339.2936,1341.3834,1345.3771,1338.0862,53750
AU.NH,20101116,1367.8535,1370.0361,1374.0298,1365.2993,34484
AU.NH,20101115,1374.1227,1383.8748,1387.1256,1368.0857,48064
AU.NH,20101112,1397.8065,1425.4375,1427.1093,1370.0825,93794
AU.NH,20101111,1426.4127,1429.8028,1435.0968,1420.8401,40840
AU.NH,20101110,1419.9113,1417.2643,1446.4279,1412.5276,74976
AU.NH,20101109,1445.3133,1413.2706,1458.1769,1412.2025,59132
AU.NH,20101108,1400.6857,1404.8187,1408.9518,1398.2709,26740
AU.NH,20101105,1398.921,1393.1626,1407.0013,1391.7694,30678
AU.NH,20101104,1363.7669,1355.4543,1425.6697,1353.6897,25648
AU.NH,20101103,1357.8227,1362.6988,1365.16,1356.476,20706
AU.NH,20101102,1366.5996,1362.188,1367.064,1360.7019,15808
AU.NH,20101101,1371.1971,1363.8576,1371.7928,1359.5459,26556
AU.NH,20101029,1348.0056,1347.5848,1349.44,1344.7428,25480
AU.NH,20101028,1337.1754,1338.6873,1339.1725,1333.8308,17902
AU.NH,20101027,1337.2464,1352.3704,1353.2213,1334.9932,38100
AU.NH,20101026,1346.5677,1358.3095,1358.3095,1346.5677,32468
AU.NH,20101025,1361.3035,1345.3982,1368.5544,1343.0592,35464
AU.NH,20101022,1330.4753,1327.0604,1334.7791,1327.0604,24566
AU.NH,20101021,1342.3575,1350.0762,1350.0762,1341.6558,26812
AU.NH,20101020,1342.5446,1340.7202,1345.3982,1340.7202,46690
AU.NH,20101019,1372.25,1374.9165,1378.1443,1370.7998,23072
AU.NH,20101018,1367.8995,1365.9815,1370.1449,1362.5198,29312
AU.NH,20101015,1390.2136,1385.3017,1391.9913,1384.1322,21426
AU.NH,20101014,1391.5703,1385.1614,1393.2543,1383.758,31320
AU.NH,20101013,1368.1802,1365.9815,1371.5951,1362.7069,28004
AU.NH,20101012,1356.5319,1361.3035,1364.0635,1355.6898,25752
AU.NH,20101011,1360.6018,1355.9238,1363.4554,1355.6898,32818
AU.NH,20101008,1336.4632,1333.7032,1344.1351,1333.3289,29180
AU.NH,20100930,1329.0719,1321.5403,1331.3174,1319.6691,18350
AU.NH,20100929,1324.7681,1323.8793,1325.0956,1320.2305,14854
AU.NH,20100928,1307.132,1307.5063,1310.5002,1306.9449,11598
AU.NH,20100927,1315.225,1316.9091,1317.3301,1308.4886,17844
AU.NH,20100921,1297.6824,1301.0974,1301.2845,1297.2146,15812
AU.NH,20100920,1306.1029,1298.1502,1306.1029,1298.1502,20116
AU.NH,20100917,1301.612,1296.4194,1302.1265,1293.94,22924
AU.NH,20100916,1290.8993,1290.9461,1293.7061,1289.0749,17056
AU.NH,20100915,1293.7061,1296.279,1296.279,1291.8349,36296
AU.NH,20100914,1275.2279,1275.6022,1275.7425,1272.5615,14172
AU.NH,20100913,1272.7954,1271.3452,1273.3099,1270.7838,9512
AU.NH,20100910,1272.4679,1270.9241,1273.1696,1270.3628,14416
AU.NH,20100909,1280.9819,1281.59,1283.2741,1279.8124,24500
AU.NH,20100908,1287.9989,1284.5372,1288.7942,1284.2565,16382
AU.NH,20100907,1277.8008,1276.912,1278.409,1275.7893,10280
AU.NH,20100906,1278.2686,1275.3683,1279.251,1274.5262,11622
AU.NH,20100903,1280.4673,1282.8999,1282.8999,1279.4381,9844
AU.NH,20100902,1277.5669,1277.6137,1279.0639,1276.7249,13602
AU.NH,20100901,1282.245,1275.3683,1283.1338,1275.3683,22002
AU.NH,20100831,1264.3749,1264.8427,1268.6319,1263.1119,17356
AU.NH,20100830,1264.9831,1262.223,1265.1702,1262.223,13736
AU.NH,20100827,1264.0942,1263.299,1265.638,1263.299,12344
AU.NH,20100826,1268.2577,1268.2577,1270.1757,1266.48,18628
AU.NH,20100825,1262.1295,1258.3871,1262.1295,1257.5918,20590
AU.NH,20100824,1248.3761,1249.4053,1250.9958,1248.189,13704
AU.NH,20100823,1256.5159,1255.9077,1258.1999,1255.206,12482
AU.NH,20100820,1257.3579,1258.9952,1259.3227,1256.5626,15102
AU.NH,20100819,1258.2935,1257.5918,1259.0888,1256.6094,13394
AU.NH,20100818,1251.6039,1254.0833,1254.9253,1250.9022,15048
AU.NH,20100817,1252.7734,1256.048,1256.4223,1251.5104,18302
AU.NH,20100816,1251.2765,1248.3761,1253.9429,1247.9551,20292
AU.NH,20100813,1247.768,1242.014,1248.8439,1241.5462,23634
AU.NH,20100812,1229.8511,1229.664,1230.2254,1227.0443,13412
AU.NH,20100811,1227.6525,1231.0206,1233.8275,1225.6877,17156
AU.NH,20100810,1225.6409,1230.2254,1231.1142,1225.6409,17334
AU.NH,20100809,1237.9441,1234.0146,1238.7394,1232.3305,21782
AU.NH,20100806,1229.8511,1222.8341,1229.8511,1222.0856,14690
AU.NH,20100805,1222.8341,1224.986,1225.5006,1221.7582,15488
AU.NH,20100804,1223.6294,1219.5595,1224.1907,1218.7175,26560
AU.NH,20100803,1211.373,1213.3845,1213.712,1211.0455,16614
